CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:15;0;3088.26;0;1816.63;60.01;3;1219.2;1163.35;0;0;2;0;589;2000673163;9.4;250.02;270.8
07:20;0;3088.26;0;1816.63;59.99;3;1219.28;1163.37;0;0;7;0.25;591;2000673163;9.7;249.33;288.6
07:25;0;3088.26;0;1816.63;59.99;3;1219.36;1163.45;0.02;0.06;7;4.08;591;2000673163;10.08;249.28;250.32
07:30;0;3088.27;0;1816.63;59.99;3;1219.45;1163.54;0.04;0.1;7;9.72;591;2000673163;10.12;249.25;250.64
07:35;0;3088.27;0;1816.63;59.98;3;1219.53;1163.62;0.05;0.12;7;13;591;2000673163;10.67;249.57;251.69
07:40;0;3088.27;0;1816.63;59.98;3;1219.62;1163.71;0.06;0.14;7;15.55;591;2000673163;10.69;249.03;256.09
07:45;0;3088.27;0;1816.63;59.98;3;1219.7;1163.79;0.09;0.17;7;21.32;591;2000673163;10.93;248.79;256.32
07:50;0;3088.28;0;1816.63;59.98;3;1219.79;1163.88;0.14;0.2;7;34.31;591;2000673163;11.29;248.41;296.65
07:55;0;3088.28;0;1816.64;59.99;3;1219.87;1163.96;0.18;0.22;7;43.15;591;2000673163;11.7;248.12;322.57
08:00;0;3088.29;0;1816.64;59.99;3;1219.95;1164.04;0.19;0.24;7;46.78;591;2000673163;11.98;247.63;297.19
08:05;0;3088.3;0;1816.65;59.97;3;1220.04;1164.13;0.24;0.24;7;59.76;591;2000673163;12.34;247.13;365.1
08:10;0;3088.31;0;1816.65;59.98;3;1220.12;1164.21;0.27;0.25;7;65.76;591;2000673163;12.6;247.09;383.46
